Epoch 185/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 186/300: Train Loss: 0.0018, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 187/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 188/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 189/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 190/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 191/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 192/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 193/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 194/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 195/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 196/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9622, Best Test Acc: 0.9832
Epoch 197/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 198/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 199/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 200/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 201/300: Train Loss: 0.0017, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 202/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
Epoch 203/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 204/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 205/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9664, Best Test Acc: 0.9832
Epoch 206/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 207/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9748, Best Test Acc: 0.9832
Epoch 208/300: Train Loss: 0.0016, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9832
Epoch 209/300: Train Loss: 0.0015, Train Acc: 1.0000, Test Acc: 0.9706, Best Test Acc: 0.9832
